path,caption,aes_score,multi_human_interaction
001/-rO6E7_D7qU-0:04:06.621-0:04:18.591.mp4,"The video shows a person holding a small, white smart home device with a black base and a screen on the front. The device appears to be a smart plug, as indicated by the text ""ring"" on the front, which is the brand name. The person is holding the device with both hands, and the screen is facing the camera. The background is blurred, but it seems to be an indoor setting with a neutral color palette. The focus is on the device, and the lighting is bright, highlighting the product's features. There are no visible texts other than the brand name on the device. The style of the video is a close-up product shot, likely intended for promotional or instructional purposes.",4.543065071105957,No
001/-HFoqgjzlK8-0:06:04.430-0:06:06.833.mp4,"The video shows a close-up of a person's hands using a smartphone. The phone is white and has a visible home button at the bottom center. The screen displays a text input field with the word ""Quadro"" visible, suggesting that the person is typing or has typed this word. The keyboard on the screen shows the letters ""qw"" visible, indicating that the person is in the process of typing. The background is blurred but appears to be an indoor setting with warm lighting. The focus is on the hands and the phone, with the background being out of focus. There are no visible texts or logos that provide additional context about the location or the brand of the phone. The style of the video is a real-life, candid shot with a focus on the interaction with the smartphone.",3.5363097190856934,No
001/-El7Oin0iK0-0:00:03.600-0:00:32.680.mp4,"The video is a news segment from a television news channel. The screen displays a headline in bold, capitalized letters that reads ""CHEMICAL WEAPONS IN SYRIA."" Below the headline, there is a subheading in smaller font that states ""OPCW confirmed all declared weapons destroyed in 2014."" The text is overlaid on a blurred background that appears to be a crowded street or marketplace with people and stalls. The style of the video suggests it is a news report, and the content is related to a significant event involving chemical weapons in Syria. The text is clear and legible, and the overall tone of the video is informative.",4.501160144805908,No
001/-diS7826OiY-0:02:02.655-0:02:07.694.mp4,"The video is a close-up shot of a man wearing sunglasses and a black t-shirt. He is standing outdoors, with a blurred background that suggests a city street. The man appears to be speaking, as indicated by his open mouth and the movement of his lips. The lighting suggests it is daytime. There are no visible texts or distinctive markings that provide additional context about the location or the man's identity. The style of the video is candid and seems to be a personal or informal recording, possibly for a vlog or social media post.",4.2979230880737305,No
001/--SSLiUFGv4-0:01:50.360-0:01:54.640.mp4,"In the heart of a cozy kitchen, a woman radiates joy as she proudly holds a large cake adorned with white frosting and chocolate drizzles. The cake, a testament to her culinary skills, is held aloft in her hands, drawing attention to its delicious details. The kitchen around her is a symphony of domesticity, with a stove, sink, and various kitchen utensils scattered about. A window in the background lets in soft light, illuminating the scene and casting a warm glow on the woman and her creation. The image captures a moment of triumph and accomplishment, as the woman celebrates her successful baking endeavor.",5.2568864822387695,No
001/-qiHuP_ODq8-0:10:12.766-0:10:47.400.mp4,"In the video, a man is seen sitting in the back seat of a car. He is wearing a black beanie and a black and white striped scarf. The car is moving, as suggested by the blurred background. The man appears to be in a good mood, as he is smiling and looking at the camera. The interior of the car is visible, with the driver's seat in the foreground and the back seat where the man is sitting in the background. The man's position in the back seat and his interaction with the camera suggest that he might be the passenger in the car. The overall scene suggests a casual, possibly fun, car ride.",3.8951833248138414,No
001/zxm8jDdet3Q-0:05:06.800-0:05:11.033.mp4,"The video shows a person sitting on the floor with their legs crossed. They are holding a colorful piece of paper or card in their hands, which appears to be a greeting card or a small booklet. The person is wearing a pink long-sleeved top and black pants. The background is blurred but seems to be an indoor setting with a wooden floor and a pinkish wall. The focus is on the person and the item they are holding, with the background being out of focus. There are no texts visible in the video. The style of the video is a close-up shot, capturing the person's hands and the item they are holding.",4.053231239318848,No
001/-rX_K_EF_Xo-0:00:26.000-0:00:34.000.mp4,"The video shows a close-up of a person's hands engaged in an artistic activity. The person is using a paintbrush to apply a greenish-blue paint onto a white canvas. The paintbrush is held in the right hand, and the person appears to be using a technique that involves tilting the brush to create a smooth, even application of paint. The canvas is placed on a red surface, which could be a table or a board. The background is blurred, but it seems to be an indoor setting with a warm, ambient light. There are no texts visible in the video. The style of the video is a straightforward, unembellished demonstration of a painting technique, likely intended to instruct or inspire viewers on how to paint.",4.692023754119873,No
001/zriQLi_rmrA-0:04:28.601-0:04:47.328.mp4,"The video shows a close-up of a person's hands interacting with a printer. The printer is black and has a control panel with buttons and a screen. The person's left hand is touching the screen, which is displaying a menu with options such as ""Print,"" ""Copy,"" ""Scan,"" and ""Fax."" The right hand is touching the control panel, which has buttons labeled ""Power,"" ""Stop,"" ""Print,"" ""Copy,"" ""Scan,"" and ""Fax."" The background is blurred but appears to be an indoor setting with a couch and a chair. There is no text visible in the video. The style of the video is a tutorial or demonstration, likely intended to show how to use the printer's touchscreen and control panel.",4.378561973571777,No
001/-jT7LDGDfS4-0:15:38.360-0:15:45.520.mp4,"The video is a first-person perspective from the driver's seat of a car, likely taken from a dashcam or a similar device mounted on the car's dashboard. The driver's hands are visible on the steering wheel, which is on the right side of the car, indicating that the vehicle is likely in a country where driving on the right side of the road is the norm. The dashboard features a digital display showing the time as 12:00 and the temperature as 18 degrees Celsius. The car's speedometer is visible, showing a speed of 100 km/h.  The car is driving on a road with a double yellow line in the center, suggesting that it is a two-way road. The road appears to be in a rural or semi-rural area, as there are trees and greenery visible on both sides. The sky is overcast, and the lighting suggests it is daytime. There are no visible pedestrians or other vehicles on the road. The driver's side mirror is visible in the reflection on the car's side, showing the driver's face and the interior of the car.  There are no visible texts",4.181262016296387,No
001/-Oj2xzQbo4s-0:04:40.080-0:04:44.240.mp4,"In the heart of a cozy kitchen, a young woman is engrossed in the art of cooking. She's wearing a blue and white plaid shirt, adding a touch of casual charm to the scene. Her focus is on a wooden cutting board that sits on the counter in front of her. She's using a knife to slice a block of tofu, her movements precise and careful.  The kitchen itself is a blend of modern and traditional elements. A white stove stands ready for culinary adventures, while a microwave sits atop it, hinting at the convenience of quick meals. Above the stove, a backsplash of white tiles provides a clean and bright backdrop to the cooking area.  The counter is adorned with various kitchen essentials. A red pepper adds a pop of color, while a green onion waits to be used in the next dish. A white coffee maker stands ready to brew a fresh pot, and a white blender is nearby, hinting at the possibility of smoothies or sauces.  The woman's actions are the main focus of the video, but the background elements",5.604320049285889,No
001/zttRw9KCDjA-0:02:10.875-0:02:14.083.mp4,"The video captures a dynamic scene at a park where a group of people are engaged in a game of frisbee. The main focus is on a man dressed in a black t-shirt with the words ""DREAM BIG"" printed on the back. He is in the midst of throwing the frisbee, his body poised in action. His stance suggests he is fully committed to the throw, his arm extended in the follow-through.  In the background, other players can be seen, their attention focused on the frisbee as it soars through the air. The park itself is lush and green, with trees and grass providing a natural backdrop to the game. A fence can be seen in the distance, marking the boundary of the park.  The video is taken from a low angle, looking up at the man and the frisbee, which gives a sense of motion and height to the throw. The colors in the video are vibrant, with the green of the park contrasting against the black of the man's t-shirt and the white of the frisbee.  Overall, the video is a snapshot of an energetic",4.347200393676758,Yes
001/zocUY1yw2hA-0:00:02.320-0:00:21.200.mp4,"The video is a scene from a film or television show set in a room that appears to be a bar or a pub. The room has a vintage or retro aesthetic, with a wooden bar, a shelf of bottles, and a yellow tablecloth on the table. There are three men in the room, two of whom are wearing hats and one is wearing a suit with a tie. The woman in the foreground is wearing a floral dress and has her hair styled in a bob. She is smiling and looking towards the camera. The lighting in the room is warm, with a golden hue, and the overall atmosphere suggests a casual, friendly gathering. There are no visible texts or distinctive brands in the image. The style of the image is realistic, with attention to detail in the costumes and the set design.",4.954169750213623,Yes
001/-32OA5QBA0Q-0:02:09.240-0:02:12.680.mp4,"The video captures a thrilling moment on a race track. The main focus is a white and red race car, adorned with the number 1 and the word ""Castrol"" on its side, as it speeds down the track. The car is in the foreground, its speed evident from the blurred background.   In the background, two other cars can be seen. One is a white car with the number 2 and the word ""Madbull"" on its side, and the other is a red car with the number 3 and the word ""Castrol"" on its side. These cars are following the white and red car, adding to the sense of speed and competition.  The track itself is surrounded by trees, providing a natural backdrop to the high-speed action. The cars are moving from left to right, their positions relative to each other suggesting a competitive race. The video does not contain any text or other objects. The relative positions of the cars and the trees suggest that the track is curving to the right. The video does not contain any other objects or actions. The focus is solely on the race cars and their speed.",4.879638671875,Yes
001/-rCj17ufudY-0:01:23.583-0:01:27.887.mp4,"The video captures a close-up view of a fishing net being hauled in. The net, made of a white mesh material, is being pulled up by a wooden pole. The pole is attached to the net with a rope, and the net is being lifted out of the water. The water is a light blue color, and the net is partially submerged in it. The background is blurred, but it appears to be a rocky shore. The net is filled with fish, which are visible through the mesh material. The fish are a variety of colors, including white, gray, and brown. The net is being lifted up towards the top right corner of the frame. The overall scene suggests a fishing activity taking place near a rocky shore.",4.321293830871582,No
001/-88JF14wfNs-0:00:50.759-0:00:54.596.mp4,"The video is a scene from the animated television series ""Wolverine and the X-Men"" (2009-2012). The scene features two characters, Wolverine and Nightcrawler, in a forest setting. Wolverine, with his yellow skin and black hair, is wearing a black and yellow costume with a red X on his chest. He is holding a large red shield and is in the process of throwing it at Nightcrawler. Nightcrawler, with his green skin and pointed ears, is wearing a blue and black costume with a white X on his chest. He is teleporting through the air, dodging the shield. The background of the scene is filled with trees and a clear blue sky. The scene is set during the day. The characters are engaged in a battle, with Wolverine attempting to hit Nightcrawler with the shield. The animation style is typical of the series, with bold colors and dynamic character movements.",4.443570137023926,Yes
001/-f--Nojg9j4-0:03:48.436-0:03:56.569.mp4,"The video captures a bustling scene in a garage where a group of mechanics are diligently working on a car. The car, which is the main focus of the video, is positioned on a lift, indicating that it's undergoing some sort of repair or maintenance.  One of the mechanics, who is wearing a black shirt, is actively engaged in the task at hand. He is using a wrench to tighten a bolt on the car's engine, a common sight in such a setting. His actions suggest a high level of precision and attention to detail, which is crucial in this line of work.  In the background, other mechanics can be seen. They are also dressed in black shirts, suggesting a uniform or a professional dress code. Their presence adds to the sense of teamwork and collaboration that is often found in such environments.  The garage itself is well-equipped, with various tools and equipment visible in the background. This includes a drill, a hammer, and a wrench, all of which are essential tools for any mechanic. The presence of these tools indicates that this is a professional setting where serious work is being done.",4.938800811767578,Yes
001/-KtIc47L4xY-0:00:05.338-0:00:08.216.mp4,"The video captures a scene of a man descending a staircase in a dimly lit room. The man, dressed in a black shirt and pants, is the central figure in the image. He is walking down the stairs, his footsteps echoing in the quiet room. The staircase is made of concrete and is illuminated by a single light source located at the top of the stairs. The walls of the room are painted a dark color, providing a stark contrast to the man's attire. The floor is covered in a black and white patterned carpet, adding a touch of elegance to the otherwise minimalist setting. The man's journey down the stairs is the main focus of the video, with no other objects or people visible in the frame. The relative position of the man to the stairs and the light source suggests that he is moving away from the light source as he descends the stairs. The image does not contain any text or additional objects. The overall composition of the image places the man and the staircase as the main elements, with the light source serving as a guide for the viewer's eye.",4.5354204177856445,No
001/-MPJGROQIh8-0:06:09.791-0:06:28.500.mp4,"The video shows a person's hands interacting with a red metal object in a garage setting. The object appears to be a type of car lift or jack, with a yellow platform attached to it. The person's hands are seen adjusting the lift, with one hand on the red metal part and the other on the yellow platform. The background of the image is blurred but suggests a garage environment with various tools and equipment visible. There are no texts or distinctive brands visible in the image. The style of the video is a close-up, hands-on demonstration, likely intended to show the use of the car lift or jack.",4.340761184692383,No
001/-ILuCqIyfBQ-0:05:59.025-0:06:08.868.mp4,"The video is a split-screen format, showing two different scenes. On the left side, there is a man sitting in front of a white wall with a logo on it. He is wearing a black cap, a black t-shirt with white text, and has a beard. He appears to be speaking or singing, as indicated by his open mouth and the microphone in front of him. On the right side of the screen, there is a blurred image of a person walking on a street at night, with neon lights and a cityscape in the background. The person is wearing a red dress and black boots, and the image has a shallow depth of field, with the person in focus and the background out of focus. The overall style of the video suggests it might be a thumbnail for a video, possibly a music video or a vlog, given the presence of the microphone and the person singing or speaking.",4.222878932952881,No
001/-PAIx5vqGps-0:00:56.523-0:01:00.060.mp4,"The video is a 3D animation featuring a man standing in a forest at night. The man is wearing a white t-shirt and blue jeans, and he has a headlamp on his head. The forest is dense with trees and the man is standing in front of a large tree. The sky is dark, suggesting it's nighttime. In the top right corner of the screen, there is a green ""T"" symbol. The man appears to be looking up at the sky, possibly observing something. The overall scene is quiet and serene, with no other characters or objects in sight. The man's position in front of the tree and his headlamp suggest he might be searching for something or exploring the forest. The ""T"" symbol in the top right corner could indicate a logo or a watermark. The forest appears to be undisturbed, with no signs of human activity other than the man. The man's actions and the surrounding environment suggest a sense of solitude and tranquility.",4.745147705078125,No
001/-EZdLbzp1mw-0:09:44.200-0:10:04.320.mp4,"The video is a photograph taken in a kitchen setting. It features two individuals, one wearing a white hijab and the other in a red headscarf. The person in white is looking towards the camera with a neutral expression, while the person in red is looking down and appears to be in the midst of an activity, possibly cooking or preparing food. The kitchen has a modern design with stainless steel appliances and a clean, bright aesthetic. There are no visible texts or distinctive branding in the image. The style of the photograph is candid and seems to capture a moment in the daily life of the individuals.",4.64001989364624,Yes
001/zwRo-MX0duQ-0:00:20.160-0:00:24.200.mp4,"The video captures a dynamic moment in a soccer match. The main focus is a soccer goalkeeper, dressed in a vibrant green jersey adorned with a white pattern. The jersey is emblazoned with the word ""MEXICO"" in bold white letters. The goalkeeper is in the midst of an action, running towards the goal with a determined expression on his face.  The goalkeeper is not alone on the field. In the background, other players can be seen, their figures slightly blurred, indicating their movement and the fast-paced nature of the game. The field itself is a lush green, contrasting with the clear blue sky above.  The video is taken from a low angle, looking up at the goalkeeper. This perspective adds a sense of drama to the scene, emphasizing the goalkeeper's movement and the anticipation of the moment. The goalkeeper's position in the center of the frame draws the viewer's attention directly to him, making him the undeniable star of this soccer match.",4.852202892303467,Yes
001/-RFsiP34UYE-0:00:05.240-0:00:07.820.mp4,"The video captures a vibrant scene from a rooftop overlooking a bustling street. The street is alive with the hum of motorcycles, their riders donned in helmets, weaving their way through the urban landscape. The buildings that line the street are a mix of modern and traditional architecture, their facades adorned with colorful signs and banners that add a splash of color to the scene.  The perspective of the video is from a high angle, providing a bird's eye view of the street and the buildings. This viewpoint allows for a comprehensive view of the scene, from the motorcycles on the street to the buildings in the background.  The colors in the video are predominantly warm, with the red and orange hues of the buildings contrasting against the cooler tones of the street. The motorcycles, with their metallic bodies, add a touch of industrial feel to the scene.  Despite the bustling activity on the street, there's a sense of order and rhythm to the scene. The motorcycles move in a coordinated manner, their riders maintaining a steady pace. The buildings",4.545974254608154,No
001/zwlhQTwC5nI-0:02:16.469-0:02:22.075.mp4,"The video captures a moment in a kitchen where a sausage patty is being cooked on a stovetop. The sausage patty, with its golden-brown surface, is the main focus of the image. It's placed on a black frying pan, which is resting on a white stove. The stove is turned on, indicating that the sausage is being cooked.  In the background, there's a wooden cutting board with a red onion and a green bell pepper on it. The cutting board is placed on a white countertop, which contrasts with the warm tones of the wooden board. The red onion and green bell pepper are fresh and ready to be used in the cooking process.  The image is taken from a high angle, providing a comprehensive view of the cooking process. The sausage patty is in the foreground, while the cutting board with the onion and bell pepper is in the background. The white stove and countertop provide a neutral backdrop that allows the colors of the sausage, onion, and bell pepper to stand out.  There's no text visible in the image, and the",4.614820957183838,No
